tweet_id,timestamp,source,text,rating_numerator,rating_denominator,name,favorite_count,retweet_count,jpg_url,stage,bread
892420643555336193,2017-08-01 16:23:56+00:00,Twitter for iPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,13.0,10.0,Phineas,35844.0,7593.0,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,,
892177421306343426,2017-08-01 00:17:27+00:00,Twitter for iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13.0,10.0,Tilly,30932.0,5627.0,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,,Chihuahua
891815181378084864,2017-07-31 00:18:03+00:00,Twitter for iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12.0,10.0,Archie,23280.0,3720.0,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,,Chihuahua
891689557279858688,2017-07-30 15:58:51+00:00,Twitter for iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,13.0,10.0,Darla,39095.0,7762.0,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,,Labrador_retriever
891327558926688256,2017-07-29 16:00:24+00:00,Twitter for iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",12.0,10.0,Franklin,37371.0,8365.0,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,,basset
891087950875897856,2017-07-29 00:08:17+00:00,Twitter for iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,13.0,10.0,,18831.0,2807.0,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,,Chesapeake_Bay_retriever
890971913173991426,2017-07-28 16:27:12+00:00,Twitter for iPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",13.0,10.0,Jax,10935.0,1827.0,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,,Appenzeller
890729181411237888,2017-07-28 00:22:40+00:00,Twitter for iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,13.0,10.0,,60384.0,16970.0,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,,Pomeranian
890609185150312448,2017-07-27 16:25:51+00:00,Twitter for iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,13.0,10.0,Zoey,25915.0,3863.0,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,,Irish_terrier
890240255349198849,2017-07-26 15:59:51+00:00,Twitter for iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14.0,10.0,Cassie,29595.0,6608.0,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,doggo,Pembroke
